存命,名前, 現在地,年齢, 性別,子供の数(1親等),父親,母親,誕生日,出袋日,移動歴,没日,写真集
Yes,コロン,金沢動物園,10,オス,6,フランク (https://www.notion.so/221b211f99a380c19beeec4c1331e364?pvs=21),ココロ (https://www.notion.so/221b211f99a3802db1e3c1b2280539e8?pvs=21),2014/11/22,2015/6/16,2014/11/22平川動物公園→2017/6/1 埼玉→2020/11/12 多摩動物公園→2023/11/8 金沢,,DSC04956.jpg
Yes,チャーリー,多摩動物公園,10,オス,3,アーチャー(東山) (https://www.notion.so/227b211f99a3809c958ff8531b61e881?pvs=21),ティリー (https://www.notion.so/221b211f99a380b49066f31c722e4005?pvs=21),2014/11/27,,2014/11/27 東山動植物園→2017/6/3 金沢動物園→2023/11/20 多摩動物公園,,PB040750.jpg
No,モミジ,王子動物園,9,メス,0,モモジ (https://www.notion.so/221b211f99a380dea445ccf652b4a984?pvs=21),ミリー (https://www.notion.so/221b211f99a380b383b1c3f14ecd3297?pvs=21),2006/5/29,2006/11/29,2006/05/29 多摩動物公園→2007/12/12 王子動物園→2010/3/3 金沢動物園→2011/12/21 王子動物園,2015/8/21,
Yes,リオ,平川動物公園,9,メス,0,ブンダ (https://www.notion.so/221b211f99a380e1b140c204a86d3e40?pvs=21),ココロ (https://www.notion.so/221b211f99a3802db1e3c1b2280539e8?pvs=21),2015/12/10,2016/6/22,,,"tmp%201.png, tmp%202.png"
Yes,ピーター,淡路ファームパークイングランドの丘,9,オス,4,ピース♂ (https://www.notion.so/221b211f99a380a796e7e68d8ccc7c5d?pvs=21),ティリー (https://www.notion.so/221b211f99a380b49066f31c722e4005?pvs=21),2016/3/28,,2016/3/28 東山動植物園→2018/5/16 王子動物園→2021/9/15 淡路ファームパークイングランドの丘,,
No,クイン,埼玉こども動物自然公園,8,メス,2,ボウ (https://www.notion.so/221b211f99a38068bbcbc5ee5cee84f6?pvs=21),ドリー (https://www.notion.so/221b211f99a380c2acf9d7966dfbe54f?pvs=21),2015/3/23,,,2023/5/31,
Yes,オウカ,王子動物園,8,メス,2,ウルル (https://www.notion.so/221b211f99a3806c87b7f8acc76a9a53?pvs=21),ウミ (https://www.notion.so/221b211f99a380859f38fcaa2e1ccd15?pvs=21),2016/9/25,2017/4/2,,,PB100616.jpg
Yes,りん,東山動植物園,8,メス,3,マックス (https://www.notion.so/221b211f99a3804bba97fda1a88430a4?pvs=21),ティリー (https://www.notion.so/221b211f99a380b49066f31c722e4005?pvs=21),2017/8/23,,,,DSC05947.jpg
Yes,イシン,東山動植物園,8,オス,5,ブンダ (https://www.notion.so/221b211f99a380e1b140c204a86d3e40?pvs=21),ユメ (https://www.notion.so/221b211f99a380009917e5e4d6c2aff9?pvs=21),2017/5/14,,平川→東山動植物園(2018/12),,tmp%203.png
Yes,こまち,多摩動物公園,8,メス,1,マックス (https://www.notion.so/221b211f99a3804bba97fda1a88430a4?pvs=21),ホリー (https://www.notion.so/221b211f99a380aaa5b1c4f33934d988?pvs=21),2017/4/27,,2017/4/27 東山動植物園→2020/7/27 多摩動物公園,,tmp%204.png
No,ぼたん,金沢動物園,7,メス,2,アーティー (https://www.notion.so/221b211f99a38093a4ebc7b764294a96?pvs=21),ウメ (https://www.notion.so/221b211f99a380599290c588163d6f5d?pvs=21),2017/5/12,2027/11/13,王子→金沢(2019/3/27),2024/12/13,
Yes,ななみ,東山動植物園,7,メス,2,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),ホリー (https://www.notion.so/221b211f99a380aaa5b1c4f33934d988?pvs=21),2018/7/7,2019/2/7,,,
Yes,きらら,多摩動物公園,7,メス,1,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),ティリー (https://www.notion.so/221b211f99a380b49066f31c722e4005?pvs=21),2018/9/6,2019/3/15,2018/9/6 東山動植物園→2020/7/27 多摩動物公園,,tmp%205.png
No,コタロウ (2015),多摩動物公園,6,オス,1,,,2015/9/25,,2015/9/25 王子動物園→2017/12/20 多摩動物公園,2022/7/31,
Yes,ヒマワリ,平川動物公園,6,メス,3,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),ユメ (https://www.notion.so/221b211f99a380009917e5e4d6c2aff9?pvs=21),2019/6/22,,,,P5050652.jpg
Yes,アーチャー,平川動物公園,6,オス,8,,,2019/4/26,,ドリームワールド→平川動物公園(2022/9/21),,P5050197.jpg
Yes,ハナ,王子動物園,6,メス,0,ピーター (https://www.notion.so/221b211f99a380418bffc83ecebeb97b?pvs=21),オウカ (https://www.notion.so/221b211f99a380aa8128c40fdc456950?pvs=21),2019/5/20,2019/11/26,,,PB100654.jpg
Yes,エマ,王子動物園,6,メス,0,ピーター (https://www.notion.so/221b211f99a380418bffc83ecebeb97b?pvs=21),ウミ (https://www.notion.so/221b211f99a380859f38fcaa2e1ccd15?pvs=21),2018/12/6,2019/6/3,,,PB100601.jpg
Yes,ふく,埼玉こども動物自然公園,6,メス,1,コタロウ (https://www.notion.so/221b211f99a380d59656cd7ecccc15d4?pvs=21),ドリー (https://www.notion.so/221b211f99a380c2acf9d7966dfbe54f?pvs=21),2019/6/12,,,,tmp%206.png
Yes,コハル,埼玉こども動物自然公園,6,メス,1,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),クイン (https://www.notion.so/221b211f99a380498b95fa678f572435?pvs=21),2019/4/2,2019/10/6,埼玉→金沢(2021/11/15)→埼玉(2023/12/21),,tmp%207.png
Yes,つくし,平川動物公園,5,メス,1,イシン (https://www.notion.so/221b211f99a38007aba3f8d200fe8760?pvs=21),りん (https://www.notion.so/221b211f99a380b1be51cd8299e4bef9?pvs=21),2020/9/3,,2020/9/3 東山動植物園→2022/6/14 平川動物公園,,"tukusi1.png, tukusi2.png, tmp%208.png"
Yes,インディコ,平川動物公園,5,メス,2,イシン (https://www.notion.so/221b211f99a38007aba3f8d200fe8760?pvs=21),ティリー (https://www.notion.so/221b211f99a380b49066f31c722e4005?pvs=21),2019/12/22,,2019/12/22 東山動植物園→2021/6/10 平川動物公園,,P5050323.jpg
Yes,キボウ,平川動物公園,5,メス,2,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),ジェイン (https://www.notion.so/221b211f99a38060bc3bc445e4bb046e?pvs=21),2019/10/17,2020/5/4,,,tmp%209.png
Yes,いぶき,王子動物園,5,オス,1,イシン (https://www.notion.so/221b211f99a38007aba3f8d200fe8760?pvs=21),ホリー (https://www.notion.so/221b211f99a380aaa5b1c4f33934d988?pvs=21),2020/8/27,,東山動植物園→王子(2023/6/14),,"tmp%2010.png, tmp%2011.png"
Yes,イツキ,王子動物園,5,オス,0,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),イト (https://www.notion.so/221b211f99a380409f2bdf046235c39b?pvs=21),2020/4/3,2020/10/11,平川→王子(2023/6/21),,PB100695.jpg
Yes,ワトル,東山動植物園,5,メス,0,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),ななみ (https://www.notion.so/221b211f99a3809eb503e02e426c5973?pvs=21),2020/5/14,,,,tmp%2012.png
Yes,ソラ,埼玉こども動物自然公園,5,オス,2,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),ユメ (https://www.notion.so/221b211f99a380009917e5e4d6c2aff9?pvs=21),2020/6/14,,平川→埼玉(2022/6/13),,
Yes,たんぽぽ,金沢動物園,5,メス,1,チャーリー (https://www.notion.so/221b211f99a3802b91fdffed1cdb4c37?pvs=21),ぼたん (https://www.notion.so/221b211f99a3803388a8e0c8bf288f98?pvs=21),2020/4/26,2020/11/8,,,tmp%2013.png
No,シャイン,王子動物園,4,オス,1,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),クイン (https://www.notion.so/221b211f99a380498b95fa678f572435?pvs=21),2017/8/31,,2017/8/31 埼玉県こども動物自然公園→2019/4/23 王子動物園,2022/1/6,
No,アーティー,金沢動物園,4,オス,1,,ティアラ (https://www.notion.so/221b211f99a38085a76ac437f488dd0b?pvs=21),2012/8/11,,東山動植物園→王子(2016/3/31),2017/7/27,
Yes,ヒナタ,平川動物公園,4,メス,1,ブンダ (https://www.notion.so/221b211f99a380e1b140c204a86d3e40?pvs=21),ヒマワリ (https://www.notion.so/221b211f99a380278576e9acc160430f?pvs=21),2021/3/27,,,,
Yes,カナエ,平川動物公園,4,メス,1,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),ユメ (https://www.notion.so/221b211f99a380009917e5e4d6c2aff9?pvs=21),2021/6/13,2021/12/29,,,tmp%2014.png
Yes,ピース,平川動物公園,4,メス,1,ブンダ (https://www.notion.so/221b211f99a380e1b140c204a86d3e40?pvs=21),ジェイン (https://www.notion.so/221b211f99a38060bc3bc445e4bb046e?pvs=21),2021/6/29,2022/1/18,,,tmp%2015.png
Yes,ライト,平川動物公園,4,オス,1,バンブラ (https://www.notion.so/221b211f99a380598f00fd87c240fe56?pvs=21),イト (https://www.notion.so/221b211f99a380409f2bdf046235c39b?pvs=21),2021/5/14,,,,raito.png
Yes,シャイニー,王子動物園,4,メス,0,シャイン (https://www.notion.so/221b211f99a380acbc66dfcff9b17d81?pvs=21),マイ (https://www.notion.so/221b211f99a38051ac84c7f353514497?pvs=21),2021/5/13,2021/11/15,,,tmp%2016.png
Yes,ミラ,埼玉こども動物自然公園,4,メス,1,コタロウ (https://www.notion.so/221b211f99a380d59656cd7ecccc15d4?pvs=21),ジンベラン (https://www.notion.so/221b211f99a38024a0acc9ba850762c3?pvs=21),2021/4/30,2021/10/23,,,tmp%2017.png
Yes,あずま,多摩動物公園,4,メス,0,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),こまち (https://www.notion.so/221b211f99a380f594fad982f1c5cf14?pvs=21),2021/5/18,2021/12/6,,,tmp%2018.png
No,ニーナ,多摩動物公園,3,メス,1,コタロウ (https://www.notion.so/221b211f99a380d59656cd7ecccc15d4?pvs=21),ドリー (https://www.notion.so/221b211f99a380c2acf9d7966dfbe54f?pvs=21),2016/9/27,,2016/9/27 埼玉こども動物自然公園→2018/6/11 多摩動物公園,2020/5/4,
No,ミナト,王子動物園,3,オス,0,,,2014/6/12,,,2017/12/20,
No,マイ,王子動物園,3,メス,1,ピーター (https://www.notion.so/221b211f99a380418bffc83ecebeb97b?pvs=21),ウメ (https://www.notion.so/221b211f99a380599290c588163d6f5d?pvs=21),2019/5/15,2019/11/18,,2022/6/21,
Yes,タイヨウ,平川動物公園,3,オス,0,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),インディコ (https://www.notion.so/221b211f99a380bf9f22f924ce21f2ac?pvs=21),2022/8/11,2023/2/10,,,P5040156.jpg
Yes,ししお,平川動物公園,3,オス,0,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),ホリー (https://www.notion.so/221b211f99a380aaa5b1c4f33934d988?pvs=21),2022/4/4,,東山→平川(2025/3/17),,tmp%2019.png
Yes,ノゾム,淡路ファームパークイングランドの丘,3,オス,0,ブンダ (https://www.notion.so/221b211f99a380e1b140c204a86d3e40?pvs=21),キボウ (https://www.notion.so/221b211f99a380b9899bfe9ecd1942d9?pvs=21),2022/2/26,2022/9/5,平川→淡路,,
Yes,おもち,東山動植物園,3,メス,0,イシン (https://www.notion.so/221b211f99a38007aba3f8d200fe8760?pvs=21),ななみ (https://www.notion.so/221b211f99a3809eb503e02e426c5973?pvs=21),2022/3/21,,,,"tmp%2020.png, tmp%2021.png, tmp%2022.png"
Yes,スカイ,東山動植物園,3,オス,0,,,2022/4/20,,2022/04/20 タロンガ動物園→2024/10/15 東山動植物園,,"DSC05934.jpg, PA250703.jpg"
Yes,だいふく,東山動植物園,3,オス,0,タイチ (https://www.notion.so/221b211f99a3809caadad0bfb574d514?pvs=21),りん (https://www.notion.so/221b211f99a380b1be51cd8299e4bef9?pvs=21),2022/3/14,,,,
No,ひなぎく,金沢動物園,3,メス,0,チャーリー (https://www.notion.so/221b211f99a3802b91fdffed1cdb4c37?pvs=21),ぼたん (https://www.notion.so/221b211f99a3803388a8e0c8bf288f98?pvs=21),2021/12/15,2022/6/17,,2025/7/2,tmp%2023.png
Yes,ハリー,金沢動物園,3,オス,0,チャーリー (https://www.notion.so/221b211f99a3802b91fdffed1cdb4c37?pvs=21),コハル (https://www.notion.so/221b211f99a380bb9ab8f36452beda92?pvs=21),2022/4/22,,,,DSC04602.jpg
Yes,きんとき,多摩動物公園,3,オス,0,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),きらら (https://www.notion.so/221b211f99a38042bd34cea560053e65?pvs=21),2022/6/25,,,,"PB040950.jpg, DSC09248_%E3%81%8D%E3%82%93%E3%81%A8%E3%81%8D%E3%82%A2%E3%83%BC%E5%86%99.png"
No,パピー,多摩動物公園,2,メス,0,ピックス (https://www.notion.so/228b211f99a380dc9132f1eb265000fd?pvs=21),ミライ (https://www.notion.so/228b211f99a380c18e19fa2cc0f8fffd?pvs=21),2011/6/23,,,2013/9/3,
No,ニシチ,多摩動物公園,2,オス,0,コタロウ (2015) (https://www.notion.so/2015-223b211f99a380d2ab4fd504e23fba32?pvs=21),ニーナ (https://www.notion.so/228b211f99a380e6932eef61d182b7b7?pvs=21),2019/2/7,,,2021/3/31,
Yes,ツムギ,平川動物公園,2,メス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),ユメ (https://www.notion.so/221b211f99a380009917e5e4d6c2aff9?pvs=21),2023/5/13,2023/11/8,,,tmp%2024.png
Yes,アラタ,平川動物公園,2,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),ヒナタ (https://www.notion.so/221b211f99a38053a395c972252a92ea?pvs=21),2023/6/14,2023/12/23,,,P5050345.jpg
Yes,ナギ,淡路ファームパークイングランドの丘,2,メス,0,ピーター (https://www.notion.so/221b211f99a380418bffc83ecebeb97b?pvs=21),ウミ (https://www.notion.so/221b211f99a380859f38fcaa2e1ccd15?pvs=21),2023/7/31,2024/1/13,,,
Yes,アサヒ,埼玉こども動物自然公園,2,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),ヒマワリ (https://www.notion.so/221b211f99a380278576e9acc160430f?pvs=21),2022/12/9,2023/6/22,平川(2025/5/23)→埼玉,,P5050250.jpg
Yes,スミレ,平川動物公園,1,メス,0,ライト (https://www.notion.so/221b211f99a38069ad70cd9e3369b2a6?pvs=21),つくし (https://www.notion.so/221b211f99a3809d9a09c02f125262b8?pvs=21),2024/9/11,2025/3/23,,,
Yes,カスミ,平川動物公園,1,メス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),ヒマワリ (https://www.notion.so/221b211f99a380278576e9acc160430f?pvs=21),2024/6/1,2024/12/14,,,DSC06194.jpg
Yes,スター,平川動物公園,1,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),インディコ (https://www.notion.so/221b211f99a380bf9f22f924ce21f2ac?pvs=21),2023/11/18,2024/5/19,,,P5050613.jpg
Yes,チャーボウ,平川動物公園,1,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),キボウ (https://www.notion.so/221b211f99a380b9899bfe9ecd1942d9?pvs=21),2023/10/21,2024/4/23,,,P5050343.jpg
Yes,オウキ,王子動物園,1,オス,0,いぶき (https://www.notion.so/221b211f99a380498390e2f6555c378b?pvs=21),オウカ (https://www.notion.so/221b211f99a380aa8128c40fdc456950?pvs=21),2024/6/12,2024/12/29,,,
Yes,もなか,東山動植物園,1,オス,0,イシン (https://www.notion.so/221b211f99a38007aba3f8d200fe8760?pvs=21),りん (https://www.notion.so/221b211f99a380b1be51cd8299e4bef9?pvs=21),2023/10/20,,,,"DSC01120.jpg, tmp%2025.png"
Yes,さち,埼玉こども動物自然公園,1,メス,0,ソラ (https://www.notion.so/221b211f99a3809d9dc3f9480752dab0?pvs=21),ふく (https://www.notion.so/221b211f99a380399ff7f8b58937dcfa?pvs=21),2024/5/9,2024/11/3,,,P2231214.jpg
Yes,ポポロ,金沢動物園,1,オス,0,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),たんぽぽ (https://www.notion.so/221b211f99a380cf9421c00bdb18333e?pvs=21),2024/4/22,2024/11/16,,,"poporo.png, tmp%2026.png"
Yes,エイト,平川動物公園,0,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),カナエ (https://www.notion.so/221b211f99a380f79ce1d94db18039df?pvs=21),2024/11/24,2025/6/9,,,
Yes,アース,平川動物公園,0,オス,0,アーチャー (https://www.notion.so/221b211f99a3809ea5ccdca1aae6e051?pvs=21),ピース (https://www.notion.so/221b211f99a380ea88ffe80be81e0857?pvs=21),2024/9/20,2025/4/3,,,
No,ミラ仔,埼玉こども動物自然公園,0,オス,0,ソラ (https://www.notion.so/221b211f99a3809d9dc3f9480752dab0?pvs=21),ミラ (https://www.notion.so/221b211f99a3805999def0889291a003?pvs=21),2024/6/23,2024/12/10,,2025/1/14,
No,,王子動物園,,オス,0,,,,,,,
No,ピコ,,,,1,,,,,,,
No,ジェックス,,,,1,,,,,,,
No,ライタ,,,,1,,,,,,,
No,アーチャー(東山),東山動植物園,,オス,1,,,,,タロンガ→東山(2009/11/8),2015/4/3,
No,カルゴア,東山動植物園,,メス,1,,,,,1994/11/24タロンガ→1997/5月東山,,
No,ボウ,,,オス,1,,,,,,,
No,ジンベラン仔,埼玉こども動物自然公園,,オス,0,コロン (https://www.notion.so/221b211f99a38062b10ae281e7c702a6?pvs=21),ジンベラン (https://www.notion.so/221b211f99a38024a0acc9ba850762c3?pvs=21),,,,2023/7/9,
No,ピース♂,,,オス,2,,,,,,,
No,ゆめ,,,,1,,,,,,,
No,アーク,,,,1,,,,,,,
No,パイン,,,,1,,,,,,,
No,ティアラ,,,,1,,,,,,,
No,ティムタム,,,,1,,,,,,,
No,ライチ,,,メス,2,,,,,,,
No,ジェイン,,,,2,,,,,,,
No,ドリー,,,メス,3,,,,,,,
No,バンブラ,,,,6,,,,,,,
No,ココロ,,,,2,,,,,,,
No,ブランディ,,,,1,,,,,,,
No,フランク,,,,1,,,,,,,
No,イト,,,メス,2,,,,,,,
No,ブンダ,,,,5,,,,,,,
No,コタロウ,,,オス,3,,,,,埼玉生まれ,,
No,マックス,,,オス,2,,,,,,,
